SN,Area,Perimeter,Major_Axis_Length,Norm_Major_Axis,Minor_Axis_Length,Norm_Minor_Axis,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Binned_Roundness,Aspect_Ration,Compactness,Class,Bi-level Class
327154,56276,888.242,326.1485,-2.319760063,220.2388,0.443011282,56831,267.6805,0.7376,0.9902,0.7453,0.8963,0.9,1.4809,0.8207,Çerçevelik,1
327157,76631,1068.146,417.1932,-0.700776151,234.2289,0.534065275,77280,312.3614,0.8275,0.9916,0.7151,0.844,0.8,1.7811,0.7487,Çerçevelik,1
327158,71623,1082.987,435.8328,-0.369321244,211.0457,0.383178367,72663,301.9822,0.8749,0.9857,0.74,0.7674,0.8,2.0651,0.6929,Çerçevelik,1
327162,66458,992.051,381.5638,-1.33434873,222.5322,0.457937782,67118,290.8899,0.8123,0.9902,0.7396,0.8486,0.8,1.7146,0.7624,Çerçevelik,1
327165,66107,998.146,383.8883,-1.29301378,220.4545,0.444415156,67117,290.1207,0.8187,0.985,0.6752,0.8338,0.8,1.7413,0.7557,Çerçevelik,1
327168,73191,1041.46,405.8132,-0.903138693,231.4261,0.515823366,73969,305.2698,0.8215,0.9895,0.7165,0.848,0.8,1.7535,0.7522,Çerçevelik,1
327170,73338,1020.055,392.2516,-1.144295094,238.5494,0.562185072,73859,305.5762,0.7938,0.9929,0.7187,0.8857,0.9,1.6443,0.779,Çerçevelik,1
327171,69692,1049.108,421.4875,-0.624413632,211.7707,0.387897,70442,297.8836,0.8646,0.9894,0.6736,0.7957,0.8,1.9903,0.7067,Çerçevelik,1
327173,95727,1231.609,488.1199,0.560463507,251.3086,0.645227803,96831,349.118,0.8573,0.9886,0.6188,0.793,0.8,1.9423,0.7152,Çerçevelik,1
327176,73465,1047.767,413.6504,-0.763775273,227.2644,0.488737112,74089,305.8407,0.8356,0.9916,0.7443,0.8409,0.8,1.8201,0.7394,Çerçevelik,1
327180,83429,1114.561,438.5827,-0.320421705,242.8826,0.590387527,84126,325.9219,0.8327,0.9917,0.7019,0.844,0.8,1.8057,0.7431,Çerçevelik,1
327182,85461,1136.125,446.2935,-0.183305968,245.1551,0.605178,86344,329.8671,0.8356,0.9898,0.7457,0.832,0.8,1.8205,0.7391,Çerçevelik,1
327186,71393,1096.533,459.2091,0.046363069,199.1305,0.305628776,72203,301.4969,0.9011,0.9888,0.6,0.7461,0.7,2.3061,0.6566,Çerçevelik,1
327189,80151,1088.349,420.8842,-0.635141692,244.2649,0.59938417,80854,319.4549,0.8144,0.9913,0.7285,0.8503,0.9,1.7231,0.759,Çerçevelik,1
327192,68078,1016.821,403.0626,-0.95205068,215.6027,0.412837415,68709,294.414,0.8449,0.9908,0.7377,0.8274,0.8,1.8695,0.7304,Çerçevelik,1
327196,57934,933.357,368.7807,-1.561661613,201.2084,0.319152703,58651,271.595,0.838,0.9878,0.7124,0.8357,0.8,1.8328,0.7365,Çerçevelik,1
327199,61138,953.256,371.2713,-1.517373024,211.3706,0.385292965,61753,279.0042,0.8221,0.99,0.7391,0.8455,0.8,1.7565,0.7515,Çerçevelik,1
327201,61519,964.694,382.1808,-1.323377053,205.6436,0.34801902,62227,279.8722,0.8429,0.9886,0.6728,0.8307,0.8,1.8585,0.7323,Çerçevelik,1
327205,76073,1064.233,430.7576,-0.459569959,225.3286,0.476138037,76576,311.222,0.8523,0.9934,0.7692,0.844,0.8,1.9117,0.7225,Çerçevelik,1
327207,56882,926.303,368.015,-1.575277518,197.4554,0.294726456,57544,269.1178,0.8439,0.9885,0.7403,0.8331,0.8,1.8638,0.7313,Çerçevelik,1
327211,69350,1037.403,418.2706,-0.681617504,211.9446,0.389028821,70249,297.1517,0.8621,0.9872,0.7469,0.8098,0.8,1.9735,0.7104,Çerçevelik,1
327213,82196,1141.067,466.2324,0.171253477,225.8543,0.479559534,82991,323.5046,0.8748,0.9904,0.6702,0.7933,0.8,2.0643,0.6939,Çerçevelik,1
